"","year","duration_days","visitor_year","visitor_day","beer_price","beer_sold","chicken_price","chicken_sold"
"1",1985,16,7100000,444000,3.2,5454100,4.77,629520
"2",1986,16,6700000,419000,3.3,5380700,3.92,698137
"3",1987,16,6500000,406000,3.37,5184200,3.98,732859
"4",1988,16,5700000,356000,3.45,5095100,4.19,720139
"5",1989,16,6200000,388000,3.6,5124100,4.22,775674
"6",1990,16,6700000,419000,3.77,5430000,4.47,750947
"7",1991,16,6400000,4e+05,4.21,5468600,4.81,807710
"8",1992,16,5900000,369000,4.42,4888800,5.11,725612
"9",1993,16,6500000,406000,4.71,5193300,5.25,733517
"10",1994,16,6600000,413000,4.89,5210800,5.39,663135
"11",1995,16,6700000,419000,5.15,5016200,5.54,628890
"12",1996,16,6900000,431000,5.24,5262200,5.45,595580
"13",1997,16,6400000,4e+05,5.45,5589100,5.38,699562
"14",1998,16,6500000,406000,5.6,5478200,5.34,603746
"15",1999,16,6500000,406000,5.8,6005400,5.38,609661
"16",2000,18,6900000,383000,6.35,6459100,7.85,681242
"17",2001,16,5500000,344000,6.47,4869800,8.12,351705
"18",2002,16,5900000,369000,6.75,5761400,8.1,459259
"19",2003,16,6300000,394000,6.75,6229400,8.14,487487
"20",2004,16,5900000,369000,7.02,6116300,8.28,481649
"21",2005,17,6100000,359000,7.15,6177200,8.35,479610
"22",2006,18,6500000,361000,7.42,6861700,8.5,494135
"23",2007,16,6200000,388000,7.85,6940600,8.87,521872
"24",2008,16,6e+06,375000,8.25,6492200,9.06,459356
"25",2009,16,5700000,356000,8.53,6643600,9.18,488137
"26",2010,17,6400000,376000,8.79,7100000,9.6,505901
"27",2011,17,6900000,406000,9.09,7922500,9.83,522821
"28",2012,16,6400000,4e+05,9.41,7402500,10.07,508958
"29",2013,16,6400000,4e+05,9.78,7703100,11.1,482361
"30",2014,16,6300000,394000,9.98,7680800,10.49,509420
"31",2015,16,5900000,369000,10.27,7513400,10.75,503510
"32",2016,17,5600000,329000,10.57,6623100,11,366876
